MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2449119	A2m	alpha-2-macroglobulin	6		stem cell differentiation			IDA		J:154112 	
MGI:87911	Acvr1	activin A receptor, type 1	2		neural crest cell migration	happens in outflow tract		IMP	MGI:2651395 	J:90988 	
MGI:107928	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2	9		neural crest cell development			IGI	MGI:1096359 MGI:2679699 	J:119939 	
MGI:107928	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2	9		neural crest cell development	happens in head mesenchyme derived from neural crest,results in the development of migratory cranial neural crest cell		IMP	MGI:1857891 	J:104523 	
MGI:104621	Alx1	ALX homeobox 1	10		neural crest cell migration			IEA	IPR033209 	J:72247 	
MGI:88255	Anxa6	annexin A6	11		neural crest cell migration			IBA	PTN002574762 	J:265628 	
MGI:101920	Ap2a2	adaptor-related protein complex 2, alpha 2 subunit	7		regulation of hematopoietic stem cell differentiation			NAS		J:215867 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		hematopoietic stem cell differentiation			IMP		J:190258 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis			IGI	P23359 	J:199300 	
MGI:103302	Bmp7	bone morphogenetic protein 7	2		positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis			IGI	P21275 	J:199300 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14		neural crest cell development			IMP		J:153961 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14	NOT	regulation of neural crest cell differentiation			IMP		J:89521 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14	NOT	regulation of neural crest cell fate specification			IMP		J:89521 	
MGI:5434104	Bvht	braveheart long non-coding RNA	18		stem cell differentiation			IMP		J:207590 	
MGI:1276106	Ccnk	cyclin K	12		negative regulation of stem cell differentiation			IMP		J:192997 	
MGI:106211	Cdc42	cell division cycle 42	4		cardiac neural crest cell migration involved in outflow tract morphogenesis	is a part of embryonic heart tube development,has the participant Ednra,has the participant Cdc42,has the participant Edn1		IMP		J:279375 	
MGI:88355	Cdh2	cadherin 2	18		neural crest cell development			IMP		J:297286 	
MGI:1277162	Cdk6	cyclin-dependent kinase 6	5		hematopoietic stem cell differentiation			IMP	MGI:3833563 MGI:5141514 	J:174697 	
MGI:1277162	Cdk6	cyclin-dependent kinase 6	5		regulation of hematopoietic stem cell differentiation			IMP	MGI:3053975 	J:220783 	
MGI:1098802	Cdk12	cyclin-dependent kinase 12	11		negative regulation of stem cell differentiation			IMP		J:192997 	
MGI:1916812	Cdk13	cyclin-dependent kinase 13	13		negative regulation of stem cell differentiation			IMP		J:192997 	
MGI:101757	Cfl1	cofilin 1, non-muscle	19		neural crest cell migration	happens in embryo,results in the movement of migratory neural crest cell		IMP	MGI:3574399 	J:96452 	
MGI:2448567	Chd2	chromodomain helicase DNA binding protein 2	7		hematopoietic stem cell differentiation	happens in liver		IMP	MGI:3800602 	J:146176 	
MGI:1306784	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	10		cardiac neural crest cell development involved in heart development	happens in embryo		IMP	MGI:2179740 	J:76593 	
MGI:1345964	Coro1c	coronin, actin binding protein 1C	5		neural crest cell migration			IBA	PTN002586584 	J:265628 	
MGI:1345964	Coro1c	coronin, actin binding protein 1C	5		neural crest cell migration			ISO	Q9ULV4 	J:164563 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation	is a part of embryonic organ development,happens in ureteral mesenchyme,has the participant Tbx2,has the participant Tbx3		IMP	MGI:2148567 MGI:3841145 	J:272619 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		mesenchymal stem cell differentiation			ISO	P35222 	J:164563 	
MGI:1096359	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1	19		neural crest cell development			IGI	MGI:2679699 	J:119939 	
MGI:2679699	Cyp26c1	cytochrome P450, family 26, subfamily c, polypeptide 1	19		neural crest cell development			IGI	MGI:1096359 	J:119939 	
MGI:1919412	Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	3		positive regulation of cardioblast differentiation			IMP		J:265627 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		cardiac neural crest cell development involved in outflow tract morphogenesis			IMP	MGI:3589208 	J:166758 	
MGI:2177178	Dicer1	dicer 1, ribonuclease type III	12		regulation of stem cell differentiation			IMP	MGI:3589287 	J:96031 	
MGI:1859287	Dnmt3l	DNA (cytosine-5-)-methyltransferase 3-like	10		stem cell differentiation			IMP		J:206847 	
MGI:95283	Edn1	endothelin 1	13		cardiac neural crest cell migration involved in outflow tract morphogenesis	is a part of embryonic heart tube development,has the participant Ednra,has the participant Cdc42		IDA		J:279375 	
MGI:95283	Edn1	endothelin 1	13		neural crest cell development	happens in 1st branchial arch mesenchyme derived from neural crest,results in the development of migratory cranial neural crest cell		IMP	MGI:1857637 	J:93876 	
MGI:95283	Edn1	endothelin 1	13		neural crest cell development	happens in 1st branchial arch mandibular component mesenchyme derived from neural crest,results in the development of migratory cranial neural crest cell|happens in 1st branchial arch maxillary component mesenchyme derived from neural crest,results in the development of migratory cranial neural crest cell|happens in 2nd branchial arch mesenchyme derived from neural crest,results in the development of migratory cranial neural crest cell|happens in 3rd branchial arch mesenchyme derived from neural crest,results in the development of migratory cranial neural crest cell		IMP	MGI:1857637 	J:49658 	
MGI:95283	Edn1	endothelin 1	13		neural crest cell differentiation	is a part of pharyngeal arch artery morphogenesis,has the participant Ednra		IMP	MGI:1857637 	J:204461 	
MGI:95283	Edn1	endothelin 1	13		neural crest cell fate commitment	is a part of pharyngeal arch artery morphogenesis,has the participant Ednra		IMP	MGI:1857637 	J:204461 	
MGI:95285	Edn3	endothelin 3	2		neural crest cell migration	happens in colon,results in the movement of migratory neural crest cell		IMP	MGI:1856392 	J:48411 	
MGI:105923	Ednra	endothelin receptor type A	8		cardiac neural crest cell migration involved in outflow tract morphogenesis	is a part of embryonic heart tube development,has the participant Cdc42,has the participant Edn1		IMP	MGI:1857473 	J:279375 	
MGI:105923	Ednra	endothelin receptor type A	8		cardiac neural crest cell migration involved in outflow tract morphogenesis	is a part of embryonic heart tube development,has the participant Cdc42,has the participant Edn1		IMP	MGI:2687362 	J:279375 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell development	happens in Meckel's cartilage|happens in hyoid cartilage condensation|happens in basisphenoid bone|happens in mandible|happens in soft palate|happens in incus|happens in malleus|happens in middle ear mesenchyme|happens in trigeminal ganglion|happens in facial ganglion|happens in glossopharyngeal ganglion|happens in aorta		IMP	MGI:1857473 	J:46639 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell development	results in the development of migratory neural crest cell		IMP	MGI:1857473 	J:93183 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell development	happens in 1st branchial arch mesenchyme derived from neural crest,happens in 1st branchial arch mesenchyme derived from neural crest,results in the development of migratory cranial neural crest cell		IMP		J:93876 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell differentiation	has the participant Six1		IGI	MGI:102780 	J:241567 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell differentiation			IMP	MGI:2687362 	J:149166 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell differentiation	is a part of pharyngeal arch artery morphogenesis,has the participant Edn1		IMP	MGI:3773698 	J:204461 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell differentiation	is a part of pharyngeal arch artery morphogenesis,has the participant Edn1		IMP	MGI:4867385 	J:204461 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell differentiation			IMP		J:149166 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell fate commitment	is a part of cranial skeletal system development		IMP	MGI:1857473 	J:118663 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell fate commitment	is a part of pharyngeal arch artery morphogenesis,has the participant Edn1		IMP	MGI:3773698 	J:204461 	
MGI:105923	Ednra	endothelin receptor type A	8		neural crest cell fate commitment	is a part of pharyngeal arch artery morphogenesis,has the participant Edn1		IMP	MGI:4867385 	J:204461 	
MGI:102720	Ednrb	endothelin receptor type B	14		neural crest cell migration	happens in gut,results in the movement of neuroblast (sensu Vertebrata)|results in the movement of melanoblast		IMP		J:58698 	
MGI:102708	Efnb1	ephrin B1	X		neural crest cell migration	happens in head mesenchyme derived from neural crest		IMP	MGI:3039290 	J:89008 	
MGI:1353449	Eif2ak2	eukaryotic translation initiation factor 2-alpha kinase 2	17		regulation of hematopoietic stem cell differentiation			IMP		J:196300 	
MGI:2673679	Ell3	elongation factor RNA polymerase II-like 3	2		stem cell differentiation			IMP		J:187901 J:190435 	
MGI:95392	Eng	endoglin	2	NOT	regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis			IMP		J:124260 	
MGI:1201683	Eomes	eomesodermin	9		cardioblast differentiation			IMP	MGI:3774028 	J:176969 	
MGI:106653	Epcam	epithelial cell adhesion molecule	17		stem cell differentiation			ISO	P16422 	J:164563 	
MGI:2143991	Epop	elongin BC and polycomb repressive complex 2 associated protein	11		stem cell differentiation			IMP		J:238487 J:238488 	
MGI:104771	Erbb4	erb-b2 receptor tyrosine kinase 4	1		neural crest cell migration			IMP		J:60190 	
MGI:95413	Ercc2	excision repair cross-complementing rodent repair deficiency, complementation group 2	7		hematopoietic stem cell differentiation	happens in bone marrow,results in the differentiation of hematopoietic stem cell		IMP	MGI:2183947 	J:122781 	
MGI:1352467	Esr1	estrogen receptor 1 (alpha)	10		stem cell differentiation			IDA		J:220326 	
MGI:1346832	Esrrb	estrogen related receptor, beta	12		negative regulation of stem cell differentiation			IMP		J:240583 	
MGI:99423	Etv4	ets variant 4	11		stem cell differentiation	happens in mammary gland epithelium,results in the differentiation of somatic stem cell		IMP	MGI:2445834 	J:143771 	
MGI:894663	Ext1	exostosin glycosyltransferase 1	15		hematopoietic stem cell differentiation			IMP		J:286759 	
MGI:894663	Ext1	exostosin glycosyltransferase 1	15		neural crest cell differentiation	is a part of outflow tract morphogenesis,is a part of heart formation		IMP		J:243036 	
MGI:1915925	Fam172a	family with sequence similarity 172, member A	13		neural crest cell development			IMP		J:260599 	
MGI:95516	Fgf2	fibroblast growth factor 2	3		stem cell development			IMP		J:84335 	
MGI:1096383	Fgf15	fibroblast growth factor 15	7		neural crest cell migration	happens in outflow tract,results in the movement of migratory neural crest cell		IMP	MGI:3044957 	J:97317 	
MGI:95523	Fgfr2	fibroblast growth factor receptor 2	7		squamous basal epithelial stem cell differentiation involved in prostate gland acinus development	happens in prostate epithelium		IMP	MGI:3044679 	J:119911 	
MGI:95566	Fn1	fibronectin 1	1		neural crest cell migration involved in autonomic nervous system development			ISO	P02751 	J:229828 	
MGI:95568	Folr1	folate receptor 1 (adult)	7		cardiac neural crest cell migration involved in outflow tract morphogenesis	happens in UBERON:0000068		IMP		J:124492 	
MGI:95568	Folr1	folate receptor 1 (adult)	7		neural crest cell migration involved in heart formation	happens in UBERON:0000068		IMP		J:124492 	
MGI:1347472	Foxa1	forkhead box A1	12		respiratory basal cell differentiation			IMP	MGI:2653543 	J:104973 	
MGI:1347466	Foxc1	forkhead box C1	13		neural crest cell development	happens in 1st branchial arch,results in the development of migratory neural crest cell|happens in 2nd branchial arch,results in the development of migratory neural crest cell|happens in 3rd branchial arch,results in the development of migratory neural crest cell		IGI	MGI:1347481 	J:119303 	
MGI:1347466	Foxc1	forkhead box C1	13		positive regulation of hematopoietic stem cell differentiation			IMP		J:210256 	
MGI:1347481	Foxc2	forkhead box C2	8		neural crest cell development	happens in 1st branchial arch,results in the development of migratory neural crest cell|happens in 2nd branchial arch,results in the development of migratory neural crest cell|happens in 3rd branchial arch,results in the development of migratory neural crest cell		IGI	MGI:1347466 	J:119303 	
MGI:1891915	Foxo4	forkhead box O4	X		stem cell differentiation			ISO	P98177 	J:164563 	
MGI:1196625	Fzd1	frizzled class receptor 1	5		canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation			ISO	Q9UP38 	J:164563 	
MGI:95668	Gbx2	gastrulation brain homeobox 2	1		neural crest cell migration	happens in 4th branchial arch mesenchyme derived from neural crest,results in the movement of migratory cranial neural crest cell		IMP	MGI:1857634 	J:152319 	
MGI:95668	Gbx2	gastrulation brain homeobox 2	1		neural crest cell migration	happens in 4th branchial arch mesenchyme derived from neural crest,results in the movement of migratory neural crest cell		IMP	MGI:1857634 	J:100584 	
MGI:95668	Gbx2	gastrulation brain homeobox 2	1		neural crest cell migration	happens in embryo		IMP		J:195357 	
MGI:107430	Gdnf	glial cell line derived neurotrophic factor	15		neural crest cell migration			ISO	P39905 	J:73065 	
MGI:107430	Gdnf	glial cell line derived neurotrophic factor	15		neural crest cell migration involved in autonomic nervous system development			ISO	P39905 	J:73065 	
MGI:107671	Gpm6a	glycoprotein m6a	8		stem cell differentiation			ISO	P51674 	J:164563 	
MGI:1344337	Grem1	gremlin 1, DAN family BMP antagonist	2		positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation			IDA		J:182488 	
MGI:95841	Gsc	goosecoid homeobox	12		neural crest cell fate specification			ISO	P56915 	J:164563 	
MGI:1861437	Gsk3b	glycogen synthase kinase 3 beta	16		negative regulation of mesenchymal stem cell differentiation			ISO	P49841 	J:164563 	
MGI:1861437	Gsk3b	glycogen synthase kinase 3 beta	16		positive regulation of stem cell differentiation	regulates the differentiation of embryonic stem cell		IMP		J:183670 	
MGI:2176207	H1f8	H1.8 linker histone	6		negative regulation of stem cell differentiation			IMP		J:207809 	
MGI:103580	Hand2	heart and neural crest derivatives expressed 2	8		cardiac neural crest cell development involved in outflow tract morphogenesis			IMP		J:155265 	
MGI:103580	Hand2	heart and neural crest derivatives expressed 2	8		cardiac neural crest cell migration involved in outflow tract morphogenesis	happens in outflow tract		IMP	MGI:2386570 MGI:3803647 	J:160022 	
MGI:103580	Hand2	heart and neural crest derivatives expressed 2	8		neural crest cell development	happens in 1st branchial arch mandibular component mesenchyme derived from neural crest|happens in 1st branchial arch maxillary component mesenchyme derived from neural crest|happens in 2nd branchial arch mesenchyme derived from neural crest|happens in 3rd branchial arch mesenchyme derived from neural crest|happens in 4th branchial arch mesenchyme derived from neural crest		IMP	MGI:1857639 	J:49658 	
MGI:104853	Hes1	hes family bHLH transcription factor 1	16		cardiac neural crest cell development involved in outflow tract morphogenesis	happens in heart		IMP		J:151566 	
MGI:104853	Hes1	hes family bHLH transcription factor 1	16		negative regulation of stem cell differentiation			ISO	Q14469 	J:164563 	
MGI:104876	Hes5	hes family bHLH transcription factor 5	4		negative regulation of stem cell differentiation			ISO	Q5TA89 	J:164563 	
MGI:96071	Hesx1	homeobox gene expressed in ES cells	14		stem cell differentiation			IMP		J:294762 	
MGI:96086	Hhex	hematopoietically expressed homeobox	19		hepatoblast differentiation	happens in liver		IMP	MGI:3721426 	J:124126 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		neural crest cell migration	happens in 2nd branchial arch|happens in 3rd branchial arch|happens in outflow tract		IMP	MGI:2179429 	J:102537 	
MGI:98505	Hnf1b	HNF1 homeobox B	11		hepatoblast differentiation			IMP	MGI:1857856 	J:139252 	
MGI:1858195	Hnrnpu	heterogeneous nuclear ribonucleoprotein U	1		negative regulation of stem cell differentiation			IMP		J:243396 	
MGI:1858195	Hnrnpu	heterogeneous nuclear ribonucleoprotein U	1		negative regulation of stem cell differentiation			ISO	Q00839 	J:164563 	
MGI:96179	Hoxa7	homeobox A7	6		stem cell differentiation			IDA		J:154112 	
MGI:96185	Hoxb4	homeobox B4	11		hematopoietic stem cell differentiation			ISO	P17483 	J:164563 	
